Date,Close,High,Low,Open,Volume,Target
2017-01-03,26.8624267578125,26.904056072927844,26.540956621718564,26.781481357443056,115127600,26.832361221313477
2017-01-04,26.832361221313477,26.945686551199977,26.769918128183697,26.793045134362227,84472400,26.96881675720215
2017-01-05,26.96881675720215,27.026635161747308,26.78379715686657,26.809237396024653,88774400,27.269472122192383
2017-01-06,27.269472122192383,27.327290524523065,26.936437560134816,27.008131814392026,127007600,27.519241333007812
2017-01-09,27.519241333007812,27.621002267452354,27.276405145552374,27.278716610806264,134247600,27.547000885009766
2017-01-10,27.547000885009766,27.609443985735044,27.359669818356252,27.468366937064868,97848400,27.695009231567383
2017-01-11,27.695009231567383,27.736638543580145,27.429044280623476,27.461422438358152,110354400,27.579378128051758
2017-01-12,27.579378128051758,27.590942514399643,27.338853360732273,27.498432717049436,108344800,27.530805587768555
2017-01-13,27.530805587768555,27.664944679909922,27.477611891065155,27.546994666856147,104447600,27.752832412719727
2017-01-17,27.752832412719727,27.80833758349145,27.34116568091413,27.368917384061206,137759200,27.750516891479492
2017-01-18,27.750516891479492,27.86846691354902,27.685760570179337,27.75283012137662,94852000,27.701948165893555
2017-01-19,27.701948165893555,27.77364240856541,27.60712691892213,27.614064843764268,102389200,27.752832412719727
2017-01-20,27.752832412719727,27.856904828476402,27.690389316161237,27.856904828476402,130391600,27.771329879760742
2017-01-23,27.771329879760742,27.940158592711846,27.699633875357176,27.752827571238708,88200800,27.74588966369629
2017-01-24,27.74588966369629,27.77595459170511,27.637190806659174,27.648755190611862,92844000,28.187623977661133
2017-01-25,28.187623977661133,28.238504448809422,27.81758659359734,27.849964754423084,129510400,28.20149803161621
2017-01-26,28.20149803161621,28.317134809814437,28.12286410491327,28.139053183281934,105350400,28.203813552856445
2017-01-27,28.203813552856445,28.29632334161466,28.122868149372056,28.247756099524025,82251600,28.129806518554688
2017-01-30,28.129806518554688,28.129806518554688,27.905472615209295,27.967915709031725,121510000,28.065048217773438
2017-01-31,28.065048217773438,28.074299372591287,27.89621949466042,28.01879420816155,196804000,29.776470184326172
2017-02-01,29.776470184326172,30.17888744015346,29.374054692976078,29.378679387702707,447940000,29.7255916595459
2017-02-02,29.7255916595459,29.924487070835582,29.552136482105638,29.598392254776094,134841600,29.852792739868164
2017-02-03,29.852792739868164,29.878232973641808,29.640021479649796,29.67471110345267,98029200,30.132633209228516
2017-02-06,30.132633209228516,30.181202213806927,29.81116307393313,29.864358538222525,107383600,30.419414520263672
2017-02-07,30.419414520263672,30.548927163944168,30.16963862361349,30.190452399428953,152735200,30.5373592376709
